account_id,distritct_id,frequency,account_date,num_trans,num_trans_type_with,num_trans_type_cred,num_trans_operatition_cred_wd,num_trans_operatition_cred_cash,num_trans_operatition_coll_bank,num_trans_operatition_cash_wd,num_trans_opeatiotion_to_bank,sum_width,sum_cred,trans_balance,sum_order,num_order_bank_to_QR,num_order_bank_to_YZ,num_order_bank_to_AB,num_order_bank_to_WX,num_order_bank_to_ST,num_order_bank_to_KL,num_order_bank_to_UV,num_order_bank_to_IJ,num_order_bank_to_GH,num_order_bank_to_OP,num_order_bank_to_EF,num_order_bank_to_MN,num_order_bank_to_CD,order_amount,num_order_cate_in_pa,num_order_household,num_order_leasing,num_order_loan_pay,num_to_unknow,Cont_loan,loan_amount,loan_duration,loan_payments,loan_status
576,55,MONTHLY,1993-01-01,358,213,145,0,1,72,145,68,420034.20,455585.10,12727222.20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3662.00,0,1,0,0,0,,,,,
3818,74,MONTHLY,1993-01-01,560,406,154,0,82,0,202,204,1345498.20,1407698.00,34831888.00,3,1,0,0,0,0,0,0,0,0,1,0,0,1,9135.00,0,1,0,0,1,,,,,
704,55,MONTHLY,1993-01-01,479,333,146,0,74,0,199,134,1296604.20,1378285.00,39125103.20,2,0,0,0,0,0,0,1,1,0,0,0,0,0,3338.00,0,1,0,0,1,,,,,
2378,16,MONTHLY,1993-01-01,435,249,186,0,114,0,178,71,2611310.00,2704659.90,40607206.50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9612.00,0,1,0,0,0,,,,,
2632,24,MONTHLY,1993-01-02,564,418,146,0,74,0,216,202,1066581.20,1129540.80,35509214.40,3,0,0,0,0,0,0,0,2,0,0,1,0,0,4383.00,0,1,0,0,1,,,,,
1972,77,MONTHLY,1993-01-02,369,224,145,0,1,72,156,68,364406.20,388146.70,8760244.50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2736.00,0,1,0,0,0,,,,,
1539,1,ISSU_AF_TRANS,1993-01-03,452,293,159,0,91,0,293,0,1812781.20,1821738.70,4048790.00,,,,,,,,,,,,,,,,,,,,,,,,,
793,47,MONTHLY,1993-01-03,497,352,145,0,1,72,148,204,232654.20,252050.20,9639812.00,3,0,1,0,0,0,0,0,0,0,1,0,0,1,2267.00,0,1,0,0,1,,,,,
2484,74,MONTHLY,1993-01-03,608,461,147,0,75,0,192,269,1129127.20,1172772.00,26536038.40,4,0,0,0,0,1,0,0,0,1,2,0,0,0,4870.00,0,1,0,0,2,,,,,
1695,76,MONTHLY,1993-01-03,459,240,219,1,147,0,180,59,3091037.40,3197934.60,49065814.80,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14658.00,0,1,0,0,0,,,,,
1726,48,MONTHLY,1993-01-03,602,448,154,0,82,0,180,268,1098381.20,1132625.30,20614948.20,4,0,0,1,0,0,0,1,0,0,1,1,0,0,6709.00,0,1,0,0,2,,,,,
2881,70,MONTHLY,1993-01-04,422,240,182,0,110,0,173,67,670031.20,722642.80,22202095.20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4639.00,0,1,0,0,0,,,,,
2357,19,MONTHLY,1993-01-04,357,212,145,0,1,72,145,67,432841.20,471137.80,13671886.20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3869.00,0,1,0,0,0,,,,,
2177,62,MONTHLY,1993-01-04,348,203,145,0,1,72,135,68,343382.20,375841.20,11295732.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3168.00,0,1,0,0,0,,,,,
485,6,ISSU_AF_TRANS,1993-01-04,605,410,195,0,123,0,200,210,2734191.00,2813244.10,47827125.50,4,0,0,2,1,0,0,0,0,0,0,1,0,0,15213.60,0,1,1,0,1,,,,,
652,21,MONTHLY,1993-01-05,400,241,159,0,87,0,173,68,1075126.20,1143576.30,27380040.00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7591.00,0,1,0,0,0,,,,,
9635,70,MONTHLY,1993-01-05,414,202,212,0,1,72,202,0,318530.50,325452.10,2865542.40,,,,,,,,,,,,,,,,,,,,,,,,,
1844,44,MONTHLY,1993-01-06,321,176,145,0,1,72,108,68,198956.20,242481.40,13971589.20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2161.00,0,1,0,0,0,,,,,
1926,37,MONTHLY,1993-01-06,447,276,171,0,99,0,142,134,395886.20,418083.90,9922371.90,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3004.00,0,1,0,0,1,,,,,
2393,10,MONTHLY,1993-01-07,416,264,152,0,80,0,197,67,826562.20,874623.50,19993500.80,2,0,0,1,0,0,1,0,0,0,0,0,0,0,5545.00,0,1,1,0,0,,,,,
3510,41,MONTHLY,1993-01-07,400,224,176,0,104,0,224,0,2785896.80,2833426.60,19011920.00,,,,,,,,,,,,,,,,,,,,,,,,,
1276,36,MONTHLY,1993-01-07,551,375,176,0,104,0,172,203,587757.20,610557.30,12562855.10,3,0,1,1,0,0,0,0,0,0,1,0,0,0,4516.00,0,1,0,0,1,,,,,
1637,1,MONTHLY,1993-01-08,426,281,145,0,1,72,147,134,384269.20,418636.80,14640597.60,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3343.00,0,2,0,0,0,,,,,
3871,26,MONTHLY,1993-01-08,422,283,139,0,1,71,149,134,259369.60,319109.50,25210237.80,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1658.00,0,2,0,0,0,,,,,
192,55,MONTHLY,1993-01-08,349,210,139,0,1,71,143,67,393304.60,423251.10,10451328.50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3583.00,0,1,0,0,0,,,,,
764,1,MONTHLY,1993-01-08,359,220,139,0,1,71,153,67,429183.60,450675.10,7715448.50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2360.00,0,1,0,0,0,,,,,
2087,7,WEEKLY,1993-01-08,380,211,169,0,97,0,211,0,1945001.00,2006955.90,23542862.00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4619.90,0,0,1,0,0,,,,,
2122,68,MONTHLY,1993-01-08,470,279,191,0,119,0,211,68,2754483.80,2796288.00,19647974.00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7663.00,0,1,0,0,0,,,,,
3592,54,MONTHLY,1993-01-08,351,206,145,0,1,72,138,68,418298.20,439374.40,7397746.20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3360.00,0,1,0,0,0,,,,,
3487,41,MONTHLY,1993-01-08,469,317,152,0,80,0,183,134,1198383.20,1279088.30,37850691.90,2,1,0,0,0,0,0,0,1,0,0,0,0,0,8275.00,0,1,0,0,1,,,,,
435,38,MONTHLY,1993-01-08,339,200,139,0,1,71,134,66,337757.60,364892.70,9198798.90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3189.00,0,1,0,0,0,,,,,
1730,1,MONTHLY,1993-01-09,372,231,141,0,1,71,164,67,419959.60,487122.80,24984710.40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1978.00,0,1,0,0,0,,,,,
1493,41,MONTHLY,1993-01-09,411,266,145,0,1,72,132,134,348833.20,366369.90,7207583.70,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2315.00,0,2,0,0,0,,,,,
374,38,MONTHLY,1993-01-09,371,221,150,0,8,71,221,0,1765911.60,1811590.60,16946909.00,,,,,,,,,,,,,,,,,,,,,,,,,
2925,1,MONTHLY,1993-01-10,385,224,161,0,89,0,156,68,516874.20,549561.80,12584726.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4297.00,0,1,0,0,0,,,,,
866,9,MONTHLY,1993-01-10,628,476,152,0,80,0,208,268,958695.20,1019249.60,38028163.20,4,0,1,0,0,0,0,0,0,0,0,1,1,1,4851.00,0,1,0,0,2,,,,,
1628,60,MONTHLY,1993-01-10,332,187,145,0,1,72,120,67,294068.20,313906.40,6586282.40,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2850.00,0,1,0,0,0,,,,,
2379,44,MONTHLY,1993-01-10,485,333,152,0,81,0,134,199,402415.60,432769.80,14721787.00,3,0,0,1,0,0,0,0,1,0,1,0,0,0,3381.00,0,1,0,0,1,,,,,
1979,26,MONTHLY,1993-01-11,358,219,139,0,1,71,153,66,201207.60,220991.30,7082564.60,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014.00,0,1,0,0,0,,,,,
346,37,MONTHLY,1993-01-11,419,273,146,0,75,0,206,67,1504908.60,1556661.00,21684255.60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7875.00,0,1,0,0,0,,,,,
1338,74,MONTHLY,1993-01-11,592,410,182,0,110,0,209,201,2341404.20,2450381.50,64514561.60,3,0,0,0,0,0,0,0,1,0,1,0,0,1,5599.00,0,1,0,0,1,,,,,
1909,14,MONTHLY,1993-01-12,486,347,139,0,1,71,146,201,217382.60,232351.00,7274642.40,3,0,0,1,0,0,2,0,0,0,0,0,0,0,2127.00,0,1,0,0,1,,,,,
2099,3,WEEKLY,1993-01-12,393,218,175,1,103,0,217,0,2386737.30,2483212.70,37914832.20,,,,,,,,,,,,,,,,,,,,,,,,,
3760,44,MONTHLY,1993-01-13,391,214,177,0,105,0,214,0,2663892.20,2775026.30,43453433.10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2947.80,0,0,1,0,0,,,,,
5270,44,MONTHLY,1993-01-13,462,313,149,0,5,72,289,24,3421056.20,3516396.90,44047403.40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3317.00,0,0,0,1,0,1,79608.00,24,3317.00,A
1699,53,MONTHLY,1993-01-14,405,266,139,0,1,71,132,134,350667.60,376953.50,10645789.50,2,0,0,0,0,0,0,0,1,0,0,1,0,0,3482.00,0,2,0,0,0,,,,,
3909,1,MONTHLY,1993-01-14,556,412,144,28,73,0,186,198,1839157.60,1894827.20,30952297.60,3,1,2,0,0,0,0,0,0,0,0,0,0,0,9609.00,0,1,0,0,1,,,,,
2926,50,MONTHLY,1993-01-14,620,467,153,0,82,0,200,267,828606.60,872857.50,27435558.00,4,0,0,0,2,0,0,1,0,1,0,0,0,0,4008.00,0,1,0,0,2,,,,,
1731,33,MONTHLY,1993-01-14,342,203,139,0,1,71,136,67,314430.60,343822.80,10052132.40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2631.00,0,1,0,0,0,,,,,
11265,15,MONTHLY,1993-01-14,484,316,168,0,97,0,170,146,628762.60,656153.80,13257340.80,3,0,0,0,1,0,2,0,0,0,0,0,0,0,7512.00,0,1,0,1,1,1,52788.00,12,4399.00,A
2519,4,MONTHLY,1993-01-15,374,234,140,0,1,71,167,67,351946.60,402201.00,18795145.60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1599.00,0,1,0,0,0,,,,,
10364,55,MONTHLY,1993-01-17,487,328,159,0,88,0,224,104,1145370.60,1196362.00,24832811.80,2,0,0,0,0,0,0,0,1,0,0,1,0,0,6871.00,0,1,0,1,0,1,21924.00,36,609.00,A
1481,15,MONTHLY,1993-01-17,348,209,139,0,1,71,143,66,206703.60,226071.10,6739890.00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2065.00,0,1,0,0,0,,,,,
401,32,MONTHLY,1993-01-18,441,296,145,0,74,0,162,134,966226.60,1003982.20,16650219.60,2,0,0,1,0,0,0,0,0,0,0,1,0,0,5369.00,0,1,0,0,1,,,,,
4034,1,MONTHLY,1993-01-18,358,182,176,5,105,0,177,0,466421.60,541310.40,26810190.40,,,,,,,,,,,,,,,,,,,,,,,,,
2330,54,MONTHLY,1993-01-19,399,260,139,0,1,71,126,134,224044.60,246507.10,8962537.50,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2263.00,0,1,0,0,1,,,,,
1806,40,MONTHLY,1993-01-19,349,210,139,0,1,71,143,67,346107.60,363569.40,6094168.20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2552.00,0,1,0,0,0,,,,,
3834,54,MONTHLY,1993-01-19,665,507,158,0,87,0,230,277,1093077.60,1123735.90,20387769.50,5,0,2,0,1,0,1,0,0,0,0,0,1,0,8861.00,0,1,0,1,2,1,23052.00,12,1921.00,A
1222,66,MONTHLY,1993-01-20,367,228,139,0,1,71,162,66,437875.60,457954.20,7368846.20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1727.00,0,1,0,0,0,,,,,
212,27,WEEKLY,1993-01-20,432,286,146,3,4,71,217,66,3761845.00,3857257.40,41218156.80,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13841.00,0,1,0,0,0,,,,,
456,49,MONTHLY,1993-01-21,387,244,143,18,1,71,226,0,3636370.60,3702242.80,25492541.40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4783.10,0,0,1,0,0,,,,,
459,47,MONTHLY,1993-01-21,49,27,22,0,22,0,27,0,37700.00,45800.00,396900.00,,,,,,,,,,,,,,,,,,,,,,,,,
